file name,author,genre,last_date_read,cover
The Housemaid by Freida McFadden,Freida McFadden,"fiction, contemporary, mystery, thriller, dark, mysterious, tense, fast-paced, fiction, contemporary, mystery, thriller, dark, mysterious, tense, fast-paced",2025-10-26,https://cdn.thestorygraph.com/fonlek94fhkpun86m19u11xuoraw
Peril at End House  by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, fast-paced, fiction, classics, crime, mystery, mysterious, fast-paced",2025-10-17,https://cdn.thestorygraph.com/et2fgbes6tff7xtem6kjx6vuszz8
Katabasis by R.F. Kuang,R.F. Kuang,"fiction, fantasy, historical, adventurous, dark, tense, medium-paced, fiction, fantasy, historical, adventurous, dark, tense, medium-paced",2025-10-14,https://cdn.thestorygraph.com/n7sgo5dz70s3v6r38rsxzcbcjmuy
At Bertram's Hotel by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-09-30,https://cdn.thestorygraph.com/6lbc188m6goh1b26eznua3vg4noj
Your Utopia by Bora Chung,"Bora Chung, Anton Hur","fiction, horror, short stories, speculative fiction, adventurous, challenging, dark, slow-paced, fiction, horror, short stories, speculative fiction, adventurous, challenging, dark, slow-paced",2025-09-19,https://cdn.thestorygraph.com/42gjo2zj4zoymfsc6qbfrgatoqgc
Before We Forget Kindness by Toshikazu Kawaguchi,Toshikazu Kawaguchi,"fiction, literary, magical realism, emotional, reflective, sad, fast-paced, fiction, literary, magical realism, emotional, reflective, sad, fast-paced",2025-09-13,https://cdn.thestorygraph.com/5tm4b3n81d7v91rfbuhg2q4yioly
Gabriel's Inferno by Sylvain Reynard,Sylvain Reynard,"fiction, contemporary, romance, emotional, slow-paced, fiction, contemporary, romance, emotional, slow-paced",2025-08-28,https://cdn.thestorygraph.com/mkvu61zhe10ybl35limjj3o83nbh
"One, Two, Buckle My Shoe by Agatha Christie",Agatha Christie,"fiction, crime, mystery, mysterious, medium-paced, fiction, crime, mystery, mysterious, medium-paced",2025-08-26,https://cdn.thestorygraph.com/exqyahtjodbreiisygf5zvbazm4p
Lord Edgware Dies by Agatha Christie 1,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-08-11,https://cdn.thestorygraph.com/bhsc235y23wzz8yoqxicni63zzcj
Lord Edgware Dies by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-08-11,https://cdn.thestorygraph.com/bhsc235y23wzz8yoqxicni63zzcj
Death in the Clouds by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, adventurous, mysterious, medium-paced, fiction, classics, crime, mystery, adventurous, mysterious, medium-paced",2025-07-22,https://cdn.thestorygraph.com/a61blwktfus7u1yzvx04478uz4uw
Tender Is the Flesh by Agustina Bazterrica,"Agustina Bazterrica, Sarah Moses","fiction, dystopian, horror, literary, dark, tense, medium-paced, fiction, dystopian, horror, literary, dark, tense, medium-paced",2025-07-12,https://cdn.thestorygraph.com/a3ugymmd8j72wjyvvy0xqjl0bogr
Sunrise on the Reaping by Suzanne Collins,Suzanne Collins,"fiction, dystopian, young adult, dark, emotional, sad, fast-paced, fiction, dystopian, young adult, dark, emotional, sad, fast-paced",2025-07-11,https://cdn.thestorygraph.com/4d0zux3555gatigx25oqum9uecbx
A Murder Is Announced by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-06-27,https://cdn.thestorygraph.com/b4emwmzcn31w2uspzsn92q9lvqst
The Labours of Hercules by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, short stories, adventurous, mysterious, fast-paced, fiction, classics, crime, mystery, short stories, adventurous, mysterious, fast-paced",2025-06-13,https://cdn.thestorygraph.com/wmrps5kdjo28d011n7eb2qpjirz6
The House Of Fear by Ibn-e-Safi,"Ibn-e-Safi, Bilal Tanweer","fiction, mystery, adventurous, dark, mysterious, fast-paced, fiction, mystery, adventurous, dark, mysterious, fast-paced",2025-05-27,https://cdn.thestorygraph.com/pfvq1m2q9kqc9jh7rh76lmtl85ve
Sharp Objects by Gillian Flynn,Gillian Flynn,"fiction, literary, mystery, thriller, dark, mysterious, tense, medium-paced, fiction, literary, mystery, thriller, dark, mysterious, tense, medium-paced",2025-05-08,https://cdn.thestorygraph.com/hagbf6kqs7v43s6564hpqqqqkv3j
Orbital by Samantha Harvey,Samantha Harvey,"fiction, literary, science fiction, inspiring, reflective, slow-paced, fiction, literary, science fiction, inspiring, reflective, slow-paced",2025-05-05,https://cdn.thestorygraph.com/hekcokhelb6j8sfuzjnzgs7eyc28
Three Act Tragedy by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-04-24,https://cdn.thestorygraph.com/xxrnsjbrm20zx54bqookxbxdjtsz
The Mirror Crack'd from Side to Side by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-04-05,https://cdn.thestorygraph.com/rjbyxl2zuglw2xtseurdcfr6x1yj
Yellowface by R.F. Kuang,R.F. Kuang,"fiction, literary, thriller, dark, tense, fast-paced, fiction, literary, thriller, dark, tense, fast-paced",2025-03-28,https://cdn.thestorygraph.com/09fc1hockmvux8v6ia85ebid03ps
The MANIAC by Benjamín Labatut,Benjamín Labatut,"fiction, historical, literary, challenging, informative, reflective, medium-paced, fiction, historical, literary, challenging, informative, reflective, medium-paced",2025-03-17,https://cdn.thestorygraph.com/e3fi7netvjb5vedzlc0miz26dmcy
Mrs McGinty's Dead by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-02-25,https://cdn.thestorygraph.com/1hcylq9sxwdcx80jj5lh44i3qo33
Human Acts by Han Kang,"Han Kang, Deborah Smith","fiction, historical, literary, dark, emotional, sad, medium-paced, fiction, historical, literary, dark, emotional, sad, medium-paced",2025-02-16,https://cdn.thestorygraph.com/6y3y3diuancmnrxdcjj3g1r8zrqr
Carrie Soto Is Back by Taylor Jenkins Reid,Taylor Jenkins Reid,"fiction, contemporary, literary, emotional, inspiring, medium-paced, fiction, contemporary, literary, emotional, inspiring, medium-paced",2025-02-05,https://cdn.thestorygraph.com/ra161n2752pl9i51v4itrwu0hwmb
"Kowloon Generic Romance, Vol. 1 by Jun Mayuzuki","Jun Mayuzuki, Amanda Haley, Abigail Blackman","fiction, dystopian, manga, romance, lighthearted, mysterious, medium-paced, fiction, dystopian, manga, romance, lighthearted, mysterious, medium-paced",2025-02-05,https://cdn.thestorygraph.com/mu9jbnmspex0votkn1n9eui4orqh
Five Little Pigs by Agatha Christie 1,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-01-30,https://cdn.thestorygraph.com/e2o86say9inp6jttf39qp6ivekjp
Five Little Pigs by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2025-01-30,https://cdn.thestorygraph.com/e2o86say9inp6jttf39qp6ivekjp
Conversations with Friends by Sally Rooney,Sally Rooney,"fiction, contemporary, lgbtqia+, literary, emotional, reflective, medium-paced, fiction, contemporary, lgbtqia+, literary, emotional, reflective, medium-paced",2024-11-06,https://cdn.thestorygraph.com/8ev0pjhfjty6kj65mb75x9r0udyf
Rendezvous with Rama by Arthur C. Clarke,Arthur C. Clarke,"fiction, classics, science fiction, adventurous, mysterious, medium-paced, fiction, classics, science fiction, adventurous, mysterious, medium-paced",2024-10-28,https://cdn.thestorygraph.com/ljfcczffhajsoubkx2vrp4i0kkxr
Cursed Bunny by Bora Chung,"Bora Chung, Anton Hur","fiction, contemporary, horror, literary, magical realism, science fiction, short stories, dark, mysterious, medium-paced, fiction, contemporary, horror, literary, magical realism, science fiction, short stories, dark, mysterious, medium-paced",2024-10-21,https://cdn.thestorygraph.com/imixss60nouzac26f2zilczs0pl8
The Miraculous Journey of Edward Tulane by Kate DiCamillo,"Kate DiCamillo, Bagram Ibatoulline","fiction, childrens, fantasy, emotional, hopeful, slow-paced, fiction, childrens, fantasy, emotional, hopeful, slow-paced",2024-09-26,https://cdn.thestorygraph.com/siy2q6uzh9lj9migpueth4vorzi1
The ABC Murders by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2024-09-23,https://cdn.thestorygraph.com/6yl2xcdyp5l76dnhluvmoo7wkqdz
Solaris by Stanisław Lem,"Stanisław Lem, Bill Johnston","fiction, classics, science fiction, mysterious, reflective, slow-paced, fiction, classics, science fiction, mysterious, reflective, slow-paced",2024-09-14,https://cdn.thestorygraph.com/c70syejx84vgfylqsksrnlzgmdxt
The Picture of Dorian Gray by Oscar Wilde,Oscar Wilde,"fiction, classics, horror, lgbtqia+, literary, dark, mysterious, reflective, medium-paced, fiction, classics, horror, lgbtqia+, literary, dark, mysterious, reflective, medium-paced",2024-09-04,https://cdn.thestorygraph.com/0zrgb4d4fgadsuuff4zbn9a7lho5
The Ballad of Songbirds and Snakes by Suzanne Collins,Suzanne Collins,"fiction, dystopian, young adult, adventurous, dark, tense, medium-paced, fiction, dystopian, young adult, adventurous, dark, tense, medium-paced",2024-08-25,https://cdn.thestorygraph.com/g7d6sdoov8v6iq6213msblxvp6m1
"The Girl from the Other Side Siúil, a Rún Vol. 4 by Nagabe","Nagabe, Adrienne Beck","fiction, fantasy, manga, mystery, dark, emotional, mysterious, fast-paced, fiction, fantasy, manga, mystery, dark, emotional, mysterious, fast-paced",2024-08-20,https://cdn.thestorygraph.com/bpc0ahz17efd72hce3h54ve56vsr
Prey by Michael Crichton,Michael Crichton,"fiction, science fiction, thriller, adventurous, dark, fast-paced, fiction, science fiction, thriller, adventurous, dark, fast-paced",2024-08-15,https://cdn.thestorygraph.com/agias27xdjl45cu2shy1zvy8jp5d
"The Girl From the Other Side Siúil, a Rún Vol. 3 by Nagabe","Nagabe, Adrienne Beck","fiction, fantasy, manga, mystery, dark, emotional, mysterious, fast-paced, fiction, fantasy, manga, mystery, dark, emotional, mysterious, fast-paced",2024-08-08,https://cdn.thestorygraph.com/zqu3xawmsd9pfftnzvdcc5syhfgu
Kindred by Octavia E. Butler,Octavia E. Butler,"fiction, classics, literary, speculative fiction, dark, emotional, tense, medium-paced, fiction, classics, literary, speculative fiction, dark, emotional, tense, medium-paced",2024-08-08,https://cdn.thestorygraph.com/ga99yomnqoha8o0x4qeu63m09yz5
"Amygdalatropolis by Edia Connole, B.R. Yeager","Edia Connole, B.R. Yeager","fiction, horror, literary, challenging, dark, medium-paced, fiction, horror, literary, challenging, dark, medium-paced",2024-07-31,https://cdn.thestorygraph.com/qkc8pmhlgfavpt9rp30mumd2apdr
"The Girl From the Other Side Siúil, a Rún Vol. 1 by Nagabe","Nagabe, Adrienne Beck","fiction, fantasy, manga, mystery, dark, mysterious, fast-paced, fiction, fantasy, manga, mystery, dark, mysterious, fast-paced",2024-07-30,https://cdn.thestorygraph.com/j4jbisa6z6milmqs6qz8ocz19zv3
White Nights by Fyodor Dostoevsky,Fyodor Dostoevsky,"fiction, classics, literary, romance, emotional, reflective, sad, fast-paced, fiction, classics, literary, romance, emotional, reflective, sad, fast-paced",2024-07-17,https://cdn.thestorygraph.com/sw65wetqrbu3cxpmhn2oc840x4ab
I Want to Eat Your Pancreas by Yoru Sumino,"Yoru Sumino, Idumi Kirihara, Beni Axia Conrad","fiction, manga, romance, emotional, sad, medium-paced, fiction, manga, romance, emotional, sad, medium-paced",2024-07-06,https://cdn.thestorygraph.com/3q5r1q4emnye1upvqtt6w27jq9su
Before We Say Goodbye by Toshikazu Kawaguchi,"Toshikazu Kawaguchi, Geoffrey Trousselot","fiction, literary, magical realism, emotional, hopeful, reflective, fast-paced, fiction, literary, magical realism, emotional, hopeful, reflective, fast-paced",2024-07-05,https://cdn.thestorygraph.com/97lvqs0foa33ttiqx883zqjaw0dr
Brazen Rebel Ladies Who Rocked The World by Pénélope Bagieu,Pénélope Bagieu,"nonfiction, biography, comics, feminism, history, informative, inspiring, fast-paced, nonfiction, biography, comics, feminism, history, informative, inspiring, fast-paced",2024-07-04,https://cdn.thestorygraph.com/cxkj5fh16ppi2uxzqs0rbey0vu2u
Manacled The Ending by SenLinYu,"SenLinYu, Avendell","fiction, dystopian, fantasy, romance, dark, emotional, tense, medium-paced, fiction, dystopian, fantasy, romance, dark, emotional, tense, medium-paced",2024-06-26,https://cdn.thestorygraph.com/japd35fyk9xd51sqbmty5a6h78yn
Manacled The Flashbacks by SenLinYu,"SenLinYu, Avendell","fiction, dystopian, fantasy, romance, adventurous, dark, tense, slow-paced, fiction, dystopian, fantasy, romance, adventurous, dark, tense, slow-paced",2024-06-12,https://cdn.thestorygraph.com/ficn83eevb9p9k1ht9hst3d1p47u
Manacled Volume 1 by SenLinYu,"SenLinYu, Avendell","fiction, dystopian, fantasy, romance, dark, emotional, sad, medium-paced, fiction, dystopian, fantasy, romance, dark, emotional, sad, medium-paced",2024-06-03,https://cdn.thestorygraph.com/z25dmtqbl8oxldjnua4n38l9x24v
Before Your Memory Fades by Toshikazu Kawaguchi,Toshikazu Kawaguchi,"fiction, literary, magical realism, emotional, hopeful, reflective, medium-paced, fiction, literary, magical realism, emotional, hopeful, reflective, medium-paced",2024-04-30,https://cdn.thestorygraph.com/w9mgwpgx32k2im2a1w4du7tv2d3c
Tales from the Café by Toshikazu Kawaguchi,"Toshikazu Kawaguchi, Geoffrey Trousselot","fiction, literary, magical realism, emotional, hopeful, reflective, medium-paced, fiction, literary, magical realism, emotional, hopeful, reflective, medium-paced",2024-04-15,https://cdn.thestorygraph.com/lp6k4c15frgjfuf3m68br21gaa5z
Pride and Prejudice by Jane Austen,Jane Austen,"fiction, classics, literary, romance, emotional, funny, lighthearted, slow-paced, fiction, classics, literary, romance, emotional, funny, lighthearted, slow-paced",2024-04-06,https://cdn.thestorygraph.com/qcnzfjfj7qjo79xsuezf0vv401sj
Before the Coffee Gets Cold by Toshikazu Kawaguchi,"Toshikazu Kawaguchi, Geoffrey Trousselot","fiction, literary, magical realism, emotional, hopeful, reflective, medium-paced, fiction, literary, magical realism, emotional, hopeful, reflective, medium-paced",2024-03-20,https://cdn.thestorygraph.com/3emcjo7adz15ilf4d5fpfi1ynhg9
The Seven Dials Mystery by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, adventurous, mysterious, medium-paced, fiction, classics, crime, mystery, adventurous, mysterious, medium-paced",2024-03-14,https://cdn.thestorygraph.com/ei6bqr5sr3u642g1bs8k828woi3y
The Forever War by Joe Haldeman,Joe Haldeman,"fiction, science fiction, adventurous, dark, medium-paced, fiction, science fiction, adventurous, dark, medium-paced",2024-03-06,https://cdn.thestorygraph.com/higvb8xzkgtutpf0jdu9fhsulqoc
The Big Four by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, adventurous, mysterious, medium-paced, fiction, classics, crime, mystery, adventurous, mysterious, medium-paced",2024-02-24,https://cdn.thestorygraph.com/g8k4wyemuv24yg4e8irguxoq46yz
The Midnight Library by Matt Haig,Matt Haig,"fiction, literary, science fiction, emotional, hopeful, reflective, medium-paced, fiction, literary, science fiction, emotional, hopeful, reflective, medium-paced",2024-02-20,https://cdn.thestorygraph.com/mn2payfti2xfjiqpb11v293jy6uq
The Secret Adversary by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, adventurous, mysterious, medium-paced, fiction, classics, crime, mystery, adventurous, mysterious, medium-paced",2024-02-06,https://cdn.thestorygraph.com/tx0jg54k9jsyxtnjswxat75b9r0r
The Man from the Future The Visionary Life of John von Neumann by Ananyo Bhattacharya,Ananyo Bhattacharya,"nonfiction, biography, history, science, challenging, informative, medium-paced, nonfiction, biography, history, science, challenging, informative, medium-paced",2023/11,https://cdn.thestorygraph.com/t32pf24vrua9k2pzvhwxpn1dotc7
Where the Crawdads Sing by Delia Owens,Delia Owens,"fiction, historical, literary, mystery, emotional, mysterious, medium-paced, fiction, historical, literary, mystery, emotional, mysterious, medium-paced",2022-10-13,https://cdn.thestorygraph.com/p7p43gcu0aibh7apgghd77qmqumo
Normal People by Sally Rooney,Sally Rooney,"fiction, contemporary, literary, romance, emotional, reflective, sad, medium-paced, fiction, contemporary, literary, romance, emotional, reflective, sad, medium-paced",2022-09-06,https://cdn.thestorygraph.com/54p2sk2kbdsdfvfkbl64tfj832wa
Humble Pi A Comedy of Maths Errors by Matt Parker,Matt Parker,"nonfiction, mathematics, science, funny, informative, lighthearted, medium-paced, nonfiction, mathematics, science, funny, informative, lighthearted, medium-paced",2022-08-08,https://cdn.thestorygraph.com/8z7h3vjk04ox41wjwu85dz7rkwrw
Never Let Me Go by Kazuo Ishiguro,"Kazuo Ishiguro, Rosalyn Landor","fiction, dystopian, literary, science fiction, emotional, reflective, sad, slow-paced, fiction, dystopian, literary, science fiction, emotional, reflective, sad, slow-paced",2022-07-20,https://cdn.thestorygraph.com/s2kxfptmw3fos9ir6lby1zel27ym
The Uninhabitable Earth A Story of the Future by David Wallace-Wells,David Wallace-Wells,"nonfiction, science, challenging, informative, reflective, medium-paced, nonfiction, science, challenging, informative, reflective, medium-paced",2022-06-27,https://cdn.thestorygraph.com/61pmqlnrbroussvedanwy3bupzoc
Midnight's Children by Salman Rushdie,Salman Rushdie,"fiction, classics, historical, literary, magical realism, challenging, reflective, slow-paced, fiction, classics, historical, literary, magical realism, challenging, reflective, slow-paced",2022-05-28,https://cdn.thestorygraph.com/z2l2lb645brvxtggdu50rgpdadjn
Our Mathematical Universe My Quest for the Ultimate Nature of Reality by Max Tegmark,Max Tegmark,"nonfiction, mathematics, science, challenging, informative, reflective, slow-paced, nonfiction, mathematics, science, challenging, informative, reflective, slow-paced",2022-03-18,https://cdn.thestorygraph.com/gagscq9ecr3jy5o8bccaogdqstu3
Azaadi Freedom. Fascism. Fiction by Arundhati Roy,Arundhati Roy,"nonfiction, essays, challenging, informative, reflective, medium-paced, nonfiction, essays, challenging, informative, reflective, medium-paced",2022-03-16,
"Entangled Life How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures by Merlin Sheldrake",Merlin Sheldrake,"nonfiction, nature, science, informative, inspiring, reflective, medium-paced, nonfiction, nature, science, informative, inspiring, reflective, medium-paced",2022-02-09,https://cdn.thestorygraph.com/5h072tpxk5jkopcbyme6cm4zdqxz
進撃の巨人 34 Shingeki no Kyojin 34 by Hajime Isayama,Hajime Isayama,"fiction, fantasy, horror, manga, science fiction, adventurous, dark, emotional, fast-paced, fiction, fantasy, horror, manga, science fiction, adventurous, dark, emotional, fast-paced",2022-01-24,https://cdn.thestorygraph.com/bbhqzwpqz21fudsz48kg0d11zlok
Phase Transitions by Ricard Solé,Ricard Solé,"nonfiction, science, informative, medium-paced, nonfiction, science, informative, medium-paced",2022,https://cdn.thestorygraph.com/xu9cxgzofldpapo0370azk6x23m2
When We Cease to Understand the World by Benjamín Labatut,"Benjamín Labatut, Adrian Nathan West","fiction, historical, literary, short stories, challenging, informative, reflective, medium-paced, fiction, historical, literary, short stories, challenging, informative, reflective, medium-paced",2021-09-12,https://cdn.thestorygraph.com/d633us5lzjtzbe4h7wf14qo81clr
Homo Deus A History of Tomorrow by Yuval Noah Harari,Yuval Noah Harari,"nonfiction, history, science, challenging, informative, reflective, medium-paced, nonfiction, history, science, challenging, informative, reflective, medium-paced",2021-09-06,https://cdn.thestorygraph.com/v5p40rhaxjrws2324tc38pyx2vao
Jonathan Livingston Seagull by Richard Bach,"Richard Bach, Russell Munson","fiction, classics, philosophy, hopeful, inspiring, reflective, fast-paced, fiction, classics, philosophy, hopeful, inspiring, reflective, fast-paced",2021-07-08,https://cdn.thestorygraph.com/qqs4mefzhh2k364xnauvfs7vv2vz
Sapiens A Brief History of Humankind by Yuval Noah Harari,Yuval Noah Harari,"nonfiction, history, science, informative, reflective, medium-paced, nonfiction, history, science, informative, reflective, medium-paced",2021-05-29,https://cdn.thestorygraph.com/ftfm5s76ae8tz0h0nqiuhecrrjeh
The Kite Runner by Khaled Hosseini,Khaled Hosseini,"fiction, historical, literary, dark, emotional, sad, medium-paced, fiction, historical, literary, dark, emotional, sad, medium-paced",2021-05-14,https://cdn.thestorygraph.com/8j81g61nw9rl1z3n04mrc3a9rulc
Persepolis The Story of a Childhood by Marjane Satrapi,"Marjane Satrapi, Mattias Ripa, Blake Ferriss","nonfiction, graphic novel, history, memoir, emotional, informative, sad, fast-paced, nonfiction, graphic novel, history, memoir, emotional, informative, sad, fast-paced",2021-05-08,https://cdn.thestorygraph.com/n8km6yer0f29iigxkoc3yhzbe5ke
Fahrenheit 451 by Ray Bradbury,"Ray Bradbury, Petre Solomon","fiction, classics, dystopian, science fiction, dark, reflective, tense, medium-paced, fiction, classics, dystopian, science fiction, dark, reflective, tense, medium-paced",2021-05-04,https://cdn.thestorygraph.com/n82y72kq8nr8biekba34tpvdtars
The Alchemist by Paulo Coelho,"Paulo Coelho, Alan R. Clarke","fiction, classics, adventurous, inspiring, reflective, medium-paced, fiction, classics, adventurous, inspiring, reflective, medium-paced",2021-05-02,https://cdn.thestorygraph.com/i6tscn3u16xzxt17hiev9qumg07k
The God Delusion by Richard Dawkins,Richard Dawkins,"nonfiction, philosophy, religion, science, challenging, informative, reflective, slow-paced, nonfiction, philosophy, religion, science, challenging, informative, reflective, slow-paced",2021-05-01,https://cdn.thestorygraph.com/x74rvpuay7tpeard53mvcasutal2
Animal Farm The Graphic Novel by George Orwell,"George Orwell, Odyr","fiction, classics, graphic novel, dark, reflective, fast-paced, fiction, classics, graphic novel, dark, reflective, fast-paced",2021-04-02,https://cdn.thestorygraph.com/9e8dnb8gpjnufaj53tkf7ftlokvh
The Order of Time by Carlo Rovelli,Carlo Rovelli,"nonfiction, philosophy, science, challenging, informative, reflective, slow-paced, nonfiction, philosophy, science, challenging, informative, reflective, slow-paced",2021-03-22,https://cdn.thestorygraph.com/f55pw0feusgrx6c60xx5fcf05zl8
Man's Search for Meaning by Viktor E. Frankl,"Viktor E. Frankl, Harold S. Kushner, William J. Winslade, Isle Lasch","nonfiction, memoir, psychology, informative, inspiring, reflective, medium-paced, nonfiction, memoir, psychology, informative, inspiring, reflective, medium-paced",2021-01-23,https://cdn.thestorygraph.com/13jjoayl5jkdxa9maljzc8rnzb2d
Mysterious affair at styles by Agatha Christie,Agatha Christie,"fiction, classics, crime, mystery, mysterious, medium-paced, fiction, classics, crime, mystery, mysterious, medium-paced",2021-01-10,https://cdn.thestorygraph.com/41dhek972p9utekgng5ozdwvgnze
Chronicle of a Death Foretold by Gabriel García Márquez,"Gabriel García Márquez, Gregory Rabassa","fiction, classics, literary, dark, mysterious, reflective, medium-paced, fiction, classics, literary, dark, mysterious, reflective, medium-paced",2021-01-03,https://cdn.thestorygraph.com/w2jk325ldg2kk5939bw1hffgo5q2
To Kill a Mockingbird by Harper Lee,Harper Lee,"fiction, classics, historical, literary, young adult, emotional, reflective, medium-paced, fiction, classics, historical, literary, young adult, emotional, reflective, medium-paced",2021,https://cdn.thestorygraph.com/jq8ffj6npxprift3xjequy6kka8p
His Dark Materials 3-Book Mass Market Paperback Boxed Set by Philip Pullman,Philip Pullman,"fiction, fantasy, middle grade, young adult, adventurous, dark, reflective, fast-paced, fiction, fantasy, middle grade, young adult, adventurous, dark, reflective, fast-paced",2020-12-31,https://cdn.thestorygraph.com/9z9rx1whlb8itmy2uvdtht3hxpzz
What If Serious Scientific Answers to Absurd Hypothetical Questions by Randall Munroe,Randall Munroe,"nonfiction, science, funny, informative, lighthearted, fast-paced, nonfiction, science, funny, informative, lighthearted, fast-paced",2020-12-01,https://cdn.thestorygraph.com/ihde3yn8hzfgocrpwuoi04u7cm52
Chaos Making a New Science  by James Gleick,James Gleick,"nonfiction, mathematics, science, challenging, informative, reflective, slow-paced, nonfiction, mathematics, science, challenging, informative, reflective, slow-paced",2020-10-01,https://cdn.thestorygraph.com/oy7atd7gazb5is7xbjfv222rvzl4
Crime and Punishment by Fyodor Dostoevsky,Fyodor Dostoevsky,"fiction, classics, crime, literary, dark, reflective, tense, slow-paced, fiction, classics, crime, literary, dark, reflective, tense, slow-paced",2017/01,https://cdn.thestorygraph.com/dsqhbffbzlul6jf7j0nlegk0b77d
